Pozo,Latitude,Longitude
CHILAPILLA-13I,17.938714,-92.521955
CHILAPILLA-26,17.943759,-92.499867
CHILAPILLA-27S,17.937265,-92.504930
CHILAPILLA-43,17.941517,-92.503232
CHILAPILLA-43DI,17.941517,-92.503232
CHILAPILLA-43DS,17.941488,-92.503271
CHILAPILLA-50,17.944359,-92.510846
CHILAPILLA-50DI,17.944359,-92.510846
CHILAPILLA-50DS,17.944331,-92.510826
CHILAPILLA-51,17.940792,-92.50789
CHILAPILLA-51D,17.940743,-92.507854
CHILAPILLA-8D,17.947807,-92.513845
CHILAPILLA-98D,17.935212,-92.518981
CHILAPILLA-9I,17.943696,-92.515571
CHILAPILLA-9S,17.943640,-92.515557
CHINCHORRO-1,18.198349,-93.399524
CHINCHORRO-2,18.198344,-93.398685
CHINCHORRO-29,18.19543459,-93.38057863
CHINCHORRO-3,18.198124,-93.399475
CHINCHORRO-5,18.197767,-93.386752
CHIPILIN-3,18.092511,-93.367386
CHOCOL-1,18.355422,-93.262558
CIBIX-1,18.23042296,-93.0909912
CINCO PRESIDENTES-145D,18.218615,-94.013999
CINCO PRESIDENTES-164,18.201482,-94.012998
CINCO PRESIDENTES-170,18.207413,-94.004465
CINCO PRESIDENTES-68,18.210902,-94.001111
CINCO PRESIDENTES-7D,18.173133,-94.012306
CINCO PRESIDENTES-7T,18.202291,-94.011549
CINCO PRESIDENTES-902,18.1997647,-94.0166196
CINCO PRESIDENTES-903,18.1997694,-94.0167804
CINCO PRESIDENTES-909,18.2034159,-94.0128036
CINCO PRESIDENTES-914,18.1996157,-94.0166116
CINCO PRESIDENTES-916,18.19961566,-94.0166116
CINCO PRESIDENTES-929,18.158809,-94.039431
CINCO PRESIDENTES-931,18.1583599,-94.0387205
CINCO PRESIDENTES-950,18.1594136,-94.0403189
COBO-1,18.047209,-92.330351
COBO-11T,18.042683,-92.322047
COBO-15,18.038093,-92.330074
COBO-20,18.04708815,-92.33034898
COMOAPA-1A,17.699094,-93.28762
COMOAPA-2,17.693589,-93.295923
COMOAPA-21,17.69007,-93.286193
COMOAPA-3,17.701867,-93.279039
COPANO-1,17.588264,-93.401178
COPANO-12,17.579017,-93.402144
COPANO-14,17.574714,-93.393163
COPANO-23,17.584184,-93.393303
COPANO-32,17.579001,-93.401868
COPANO-41,17.564387,-93.41149
COPANO-45,17.568975,-93.396112
COPANO-61,17.564499,-93.398475
COPANO-65A,17.5719,-93.38527
COSTERO-1,18.623733,-92.507517
COSTERO-1001,18.63808401,-92.50816205
COSTERO-12,18.63290634,-92.51567795
COSTERO-14,18.635909,-92.507984
COSTERO-16,18.62320312,-92.50814845
COSTERO-17,18.62745456,-92.50327162
COSTERO-18,18.61727375,-92.52150593
COSTERO-19,18.6273756,-92.50338732
COSTERO-2,18.62351467,-92.50780211
COSTERO-28,18.62729069,-92.5035116
COSTERO-31,18.63265856,-92.51594192
COSTERO-35,18.62342285,-92.50790713
COSTERO-4,18.61736966,-92.52140519
COSTERO-6,18.63309548,-92.49971372
COSTERO-7,18.62341266,-92.5079173
COSTERO-8,18.623606,-92.50766
CRATER-13,18.5162174,-92.75414
CRATER-91,18.5170442,-92.7542224
CUICHAPA-106D,17.956521,-94.287535
CUICHAPA-107,17.952981,-94.280705
CUICHAPA-119,17.951172,-94.290462
CUICHAPA-124D,17.9534722,-94.2871793
CUICHAPA-125D,17.949092,-94.287191
CUICHAPA-128,17.943907,-94.290474
CUICHAPA-139,17.951185,-94.297003
CUICHAPA-141,17.944179,-94.297106
CUICHAPA-167,17.938487,-94.287195
CUICHAPA-179,17.966167,-94.283923
CUICHAPA-180,17.942095,-94.300314
CUICHAPA-187,17.934812,-94.293783
CUICHAPA-19,17.954403,-94.263759
CUICHAPA-191,17.931346,-94.293746
CUICHAPA-201,17.925825,-94.290453
CUICHAPA-205,17.922215,-94.290442
CUICHAPA-207,17.924007,-94.293714
CUICHAPA-213,17.916804,-94.287185
CUICHAPA-306,17.961729,-94.292708
CUICHAPA-324D,17.949289,-94.290727
CUICHAPA-326,17.947475,-94.299248
CUICHAPA-327,17.947529,-94.294871
CUICHAPA-328,17.947523,-94.292671
CUICHAPA-331,17.945601,-94.29138
CUICHAPA-343,17.940248,-94.292679
CUICHAPA-352,17.936628,-94.292681
CUICHAPA-356,17.934755,-94.291942
CUICHAPA-359,17.932946,-94.294766
CUICHAPA-363,17.931361,-94.298014
CUICHAPA-364,17.931246,-94.295856
CUICHAPA-367,17.929838,-94.299031
CUICHAPA-373,17.927751,-94.289045
CUICHAPA-376,17.926296,-94.292399
CUICHAPA-382,17.924472,-94.289493
CUICHAPA-502,17.952296,-94.289312
CUICHAPA-504,17.943806,-94.288371
CUICHAPA-505,17.945899,-94.289356
CUICHAPA-507,17.949454,-94.289358
CUICHAPA-508,17.950992,-94.288364
CUICHAPA-513,17.943791,-94.286058
CUNDUACAN-1,18.064502,-93.096784
CUNDUACAN-1011,18.051104,-93.092374
CUNDUACAN-1021,18.056867,-93.092601
CUNDUACAN-1023,18.061748,-93.07322
CUNDUACAN-1025,18.055786,-93.076010
CUNDUACAN-1027,18.049978,-93.078960
CUNDUACAN-10A,18.049903,-93.098164
CUNDUACAN-11,18.04989,-93.088667
CUNDUACAN-12A,18.049857,-93.107849
CUNDUACAN-18A,18.051064,-93.135282
CUNDUACAN-21,18.057216,-93.092701
CUNDUACAN-23,18.057208,-93.083261
CUNDUACAN-30A,18.064324,-93.106222
CUNDUACAN-41,18.072327,-93.10151
CUNDUACAN-5013,18.056067,-93.07608
CUNDUACAN-5023,18.049869,-93.07909
CUNDUACAN-532,18.075239,-93.0975
CUPACHE-1,18.18428429,-93.19384427
EDEN-1,18.044359,-93.365346
EDÉN-1,18.04508973,-93.36553122
EDEN-21,18.035849,-93.356829
EDEN-41,18.02742,-93.35659
EDÉN-41,18.02815159,-93.35677501
EDEN-47,18.028745,-93.327538
EDEN-67D,18.03506969,-93.35601929
EL GOLPE-102,18.322589,-93.413676
EL GOLPE-103,18.328551,-93.403678
EL GOLPE-28T,18.325151,-93.423441
EL GOLPE-30D,18.328765,-93.417032
EL GOLPE-3C,18.32364841,-93.42671021
EL GOLPE-405,18.319791,-93.43376
EL GOLPE-41D,18.325051,-93.410425
EL GOLPE-41T,18.32492629,-93.41034942
EL GOLPE-42D,18.328649,-93.410346
EL GOLPE-44,18.33051,-93.413626
EL GOLPE-50,18.332354,-93.410435
EL GOLPE-67,18.32658,-93.400472
EL GOLPE-69,18.330275,-93.400522
EL GOLPE-85,18.322284,-93.432334
EL GOLPE-9,18.325218,-93.430027
ESCUINTLE-1,18.330462,-92.804518
ESCUINTLE-143,18.28310914,-92.7967834
ESCUINTLE-201,18.330425,-92.804682
FORTUNA NACIONAL-10,17.790387,-92.621947
FORTUNA NACIONAL-101A,17.802212,-92.61751513
FORTUNA NACIONAL-4T,17.796809,-92.615542
FORTUNA NACIONAL-9,17.795899,-92.612684
GAUCHO-1,17.565946,-93.16189
GAUCHO-23,17.56429,-93.15338
GAUCHO-25,17.56417394,-93.15353957
GAUCHO-3,17.564457,-93.153339
GAUCHO-35,17.56453,-93.15351
GIRALDAS-12,17.668175,-93.363963
GIRALDAS-139,17.659799,-93.39694
GIRALDAS-14,17.662206,-93.3717
GIRALDAS-16,17.659346,-93.3795
GIRALDAS-2,17.659309,-93.362788
GIRALDAS-22,17.650584,-93.362147
GIRALDAS-24,17.645311,-93.370934
GIRALDAS-26B,17.640553,-93.378345
GIRALDAS-4,17.654326,-93.371931
GIRALDAS-6,17.65011,-93.378622
GIRALDAS-72,17.695421,-93.362786
GUARICHO-10,17.9253968,-93.7748849
GUARICHO-13,17.9238282,-93.7742866
GUARICHO-2,17.925013,-93.774704
GUARICHO-202,17.9237442,-93.7745159
GUARICHO-202D,17.92333798,-93.77440392
GUARICHO-204,17.9237021,-93.7746305
GUARICHO-204D,17.92324394,-93.77445865
GUARICHO-205,17.91641055,-93.78171
GUARICHO-21,17.9237862,-93.7744013
GUARICHO-24D,17.9232716,-93.77475287
GUARICHO-24H,17.9236439,-93.7747891
GUARICHO-3,17.925054,-93.77477
GUARICHO-303,17.91613225,-93.78168932
GUARICHO-304,17.9161408,-93.78181209
GUARICHO-501,17.93991236,-93.72963133
GUARICHO-502,17.916411,-93.781588
GUARICHO-503,17.93972232,-93.72974064
GUARICHO-504,17.93981734,-93.72968599
GUARICHO-505,17.53280686,-93.72805466
GUARICHO-507,17.93972231,-93.7297406
GUARICHO-509,17.93422463,-93.75026678
GUARICHO-510,17.9387275,-93.7380147
GUARICHO-511,17.93158305,-93.75037849
GUARICHO-512,17.93415202,-93.7503457
GUARICHO-5H,17.9234582,-93.775149
GUARICHO-9D,17.92488656,-93.77478547
HORMIGUERO-1D,18.112626,-92.386164
HORMIGUERO-2,18.116735,-92.392533
HORMIGUERO-2D,18.116631,-92.392515
HORMIGUERO-4,18.11591,-92.379382
HORMIGUERO-4D,18.116021,-92.379387
HORMIGUERO-55,18.110902,-92.395959
HORMIGUERO-66,18.107099,-92.383139
HORMIGUERO-67,18.112319,-92.379763
HORMIGUERO-68,18.117997,-92.376108
HORMIGUERO-9,18.1133,-92.399202
IRIDE-1108,17.999736,-93.048384
IRIDE-1118,18.003671,-93.051597
ÍRIDE-1118,18.00440407,-93.05177551
IRIDE-1124,18.00321313,-93.04553484
IRIDE-1126,18.011619,-93.047686
IRIDE-1128,17.995194,-93.063882
ÍRIDE-1128,17.9959275,-93.06406075
IRIDE-1136,18.01893636,-93.05209241
IRIDE-1140,18.024473,-93.028856
IRIDE-1141,18.024473,-93.028478
IRIDE-1143,18.027244,-93.056964
IRIDE-1148,18.027364,-93.066411
IRIDE-1156,18.035416,-93.061484
IRIDE-1158,18.036254,-93.070913
IRIDE-1166,18.042626,-93.056263
ÍRIDE-1166,18.04335709,-93.05644165
IRIDE-118,18.003927,-93.051627
IRIDE-146,18.027385,-93.057059
ÍRIDE-146,18.02811687,-93.05723763
IRIDE-146 D,18.0275709,-93.0568518
ÍRIDE-146 D,18.02830277,-93.05703044
IRIDE-154,18.036708,-93.052188
IRIDE-156A,18.035102,-93.062167
IRIDE-158A,18.036398,-93.070961
IRIDE-166B,18.040864,-93.061362
ÍRIDE-166B,18.04159519,-93.06154075
IRIDE-2124,18.018923,-93.052281
ÍRIDE-2124,18.01965531,-93.05245952
